Column1;url;sdg_tag;ISO3166;Location;Service;policy_code;Policy
127;https://europa.eu/youreurope/citizens/travel/passenger-rights/bus-and-coach/index_en.htm;sdg;404;404;information;404;404
128;https://europa.eu/youreurope/citizens/travel/passenger-rights/index_en.htm;sdg;404;404;information;404;404
129;https://europa.eu/youreurope/citizens/travel/passenger-rights/rail/index_en.htm;sdg;404;404;information;404;404
130;https://europa.eu/youreurope/citizens/travel/passenger-rights/ship/index_en.htm;sdg;404;404;information;404;404
131;https://europa.eu/youreurope/citizens/travel/security-and-emergencies/airport-airline-security/index_en.htm;sdg;404;404;information;404;404
132;https://europa.eu/youreurope/citizens/travel/security-and-emergencies/emergency/index_en.htm;sdg;404;404;information;404;404
133;https://europa.eu/youreurope/citizens/travel/security-and-emergencies/emergency-assistance-vehicles-ecall/index_en.htm;sdg;404;404;information;404;404
134;https://europa.eu/youreurope/citizens/travel/security-and-emergencies/index_en.htm;sdg;404;404;information;404;404
135;https://europa.eu/youreurope/citizens/travel/transport-disability/index_en.htm;sdg;404;404;information;404;404
136;https://europa.eu/youreurope/citizens/travel/transport-disability/parking-card-disabilities-people/index_en.htm;sdg;404;404;information;404;404
137;https://europa.eu/youreurope/citizens/travel/transport-disability/reduced-mobility/index_en.htm;sdg;404;404;information;404;404
138;https://europa.eu/youreurope/citizens/travel/travel-and-covid/index_en.htm;sdg;404;404;information;404;404
139;https://europa.eu/youreurope/citizens/vehicles/cars/buying-leasing-car-abroad/index_en.htm;sdg;404;404;information;404;404
140;https://europa.eu/youreurope/citizens/vehicles/cars/company-cars/index_en.htm;sdg;404;404;information;404;404
141;https://europa.eu/youreurope/citizens/vehicles/cars/index_en.htm;sdg;404;404;information;404;404
142;https://europa.eu/youreurope/citizens/vehicles/cars/vat-buying-selling-cars/index_en.htm;sdg;404;404;information;A4;transport of animals, plants, alcohol, tobacco, cigarettes and other goods when travelling in the Union
143;https://europa.eu/youreurope/citizens/vehicles/driving-licence/driving-licence-exchange-recognition/index_en.htm;sdg;404;404;information;C2;acquiring and renewing a driving licence
